userID,postID
16,1
2,1
4,1
13,1
11,1
5,1
20,1
9,1
11,2
5,2
2,2
18,2
7,2
15,3
16,3
5,3
12,3
6,3
18,3
10,3
9,3
2,3
8,3
8,4
16,4
14,4
12,4
6,4
9,4
1,5
19,5
8,5
9,5
12,5
20,5
6,5
15,5
16,5
4,5
10,6
15,6
4,6
19,6
3,6
8,6
20,6
9,6
18,7
13,7
11,7
17,8
14,8
4,8
18,9
2,9
11,9
19,9
9,9
16,9
3,9
14,9
9,10
14,10
11,10
7,11
8,11
1,11
10,12
12,12
19,12
14,12
3,12
15,12
2,12
20,12
8,12
15,13
4,13
13,13
20,13
10,13
5,13
9,13
17,14
11,15
7,15
18,15
20,15
2,15
15,15
13,15
19,15
5,16
4,17
6,17
11,17
18,17
17,17
20,18
19,18
9,18
15,18
2,18
12,18
4,18
17,18
1,18
7,19
13,19
17,20
1,20
18,20
2,20
7,20
3,20
12,21
2,21
17,21
8,22
15,22
3,22
4,23
17,24
19,24
7,24
13,25
19,26
4,26
9,26
14,26
3,26
12,26
1,26
11,26
18,27
1,27
12,27
4,27
20,27
9,27
18,28
17,28
8,28
12,28
17,29
13,29
18,29
4,29
2,29
20,29
10,29
12,29
7,29
17,30
9,30
8,31
4,31
19,31
14,31
13,32
16,32
16,33
12,33
2,33
4,33
1,33
17,33
5,33
18,33
11,34
8,34
3,35
8,35
1,35
7,35
9,35
6,35
4,36
2,36
12,36
12,37
13,37
1,37
20,37
5,38
16,39
9,39
18,39
7,40
6,41
4,41
16,41
9,42
10,42
1,42
13,42
15,42
2,43
8,43
6,43
5,43
19,44
7,44
3,44
20,44
5,44
16,44
6,44
18,44
13,45
1,45
12,46
19,46
15,46
3,46
1,46
2,46
6,47
17,47
12,47
16,47
4,47
16,48
9,48
13,48
18,48
10,48
11,48
10,49
7,49
1,49
3,49
14,49
6,49
16,49
9,49
11,49
14,50
7,50
